名前,カラーコード,R,G,B,備考/変更歴・サブカラーなど,ファンマーク
グウェル・オス・ガール,#F04B2D,240,75,45,,😎
ましろ爻,#1E2232,30,34,50,#1E2233→2020/04/07変更,🧷
奈羅花,#A02655,160,38,85,,✖🍳
来栖夏芽,#8AD1EF,138,209,239,#880223→2022/11/04変更,🐏🎵
フレン・E・ルスタリオ,#EC1D2F,236,29,47,,🎠
メリッサ・キンレンカ,#D3F377,211,243,119,,🐝
イブラヒム,#7CA1F0,124,161,240,,💧
長尾景,#625DA1,98,93,161,,☯
弦月藤士郎,#B43246,180,50,70,#487591→2023/05/02変更,🎻🛵
甲斐田晴,#4DD7E3,77,215,227,,🌞
空星きらめ,#44DDF4,68,221,244,,🌌
朝日南アカネ,#B7282E,183,40,46,色名：茜あかね色,🦖🎖
周央サンゴ,#EF8468,239,132,104,色名：珊瑚さんご色,💞🦩*14
東堂コハク,#EA930A,234,147,10,色名：琥珀こはく色,🍯
北小路ヒスイ,#38B48B,56,180,139,色名：翡翠ひすい色,❇️*15
西園チグサ,#3A8FB7,58,143,183,色名：千草ちぐさ色,🐬🌱
アクシア・クローネ,#00A6FE,0,166,254,,🐈‍⬛*16
ローレン・イロアス,#C10E49,193,14,73,,🗝💸*17
レオス・ヴィンセント,#234A87,35,74,135,,🥼🌱😺
オリバー・エバンス,#BCC37E,188,195,126,,🍵
レイン・パターソン,#F74848,247,72,72,,❤️‍🔥*19
天ヶ瀬むゆ,#FA5578,250,85,120,,💭
先斗寧,#5A7DFF,90,125,255,,🫐
海妹四葉,#FFE632,255,230,50,,🍀
壱百満天原サロメ,#CD3796,205,55,150,,💯🦂
風楽奏斗,#F0F0F5,240,240,245,サブカラー：#FAD246（初配信より）,🍝🍷
渡会雲雀,#192332,25,35,50,サブカラー：#CD3764（ミューコミVR出演時の発言より),♦☕
四季凪アキラ,#235AAA,35,90,170,サブカラー： 紫 （カラーコード不明）,📄*20
セラフ・ダズルガーデン,#DC3C41,220,60,65,サブカラー： 青 （カラーコード不明）,🦉🎻
小清水透,#CDA5FF,205,165,255,,🫧*26
獅子堂あかり,#FFD728,255,215,40,,🐱💫
鏑木ろこ,#198CAA,25,140,170,,🍕🎢
五十嵐梨花,#FF8C3C,255,140,60,,⚾🧡
石神のぞみ,#E6325F,230,50,95,,❤️‍🩹*27
ソフィア・ヴァレンタイン,#C8C3DC,200,195,220,,🐰🗞
倉持めると,#EB4682,235,70,130,,🧸🌙
佐伯イッテツ,#8C4664,140,70,100,,🤝
赤城ウェン,#FF8C9B,255,140,155,,🍱🦖
宇佐美リト,#FAC31E,250,195,30,,🌩🦒*28
緋八マナ,#64C8F0,100,200,240,,🐝🤣
星導ショウ,#A58CDC,165,140,220,,🐙🌟
叢雲カゲツ,#6EB487,110,180,135,,🥷🔫
小柳ロウ,#5A5FAA,90,95,170,,👻🔪
伊波ライ,#DCFF50,220,255,80,,💡
立伝都々,#C31E5A,195,30,90,サブカラー：#8FDED0（初配信より）,🪓🎀
栞葉るり,#2887FF,40,135,255,,🚓🐾
ミラン・ケストレル,#2C35BD,44,53,189,,🦋⏳
北見遊征,#FF6E1E,255,110,30,サブカラー：#BEBED2（初配信より）,📿🍔
魁星,#0C6F72,12,111,114,,🔑🐍
榊ネス,#C2AAE6,194,170,230,,🫖🌿
司賀りこ,#FFE36C,255,227,108,サブカラー：#839DDE（宣材写真お披露目配信より）,📒
珠乃井ナナ,#63AED9,99,174,217,サブカラー：#FFC547（初配信より）,🛼
綺沙良,#846FC7,132,111,199,サブカラー：#9394B2（初配信より）,🪞
梢桃音,#FFC6E2,255,198,226,サブカラー：#DECDFC（初配信より）,🪷
ルンルン,#D8E9FC,216,233,252,サブカラー：#F6F9FF（ポストより）,🥨🍚
七瀬すず菜,#9DD9B9,157,217,185,#B9E089→2026/04/01変更、サブカラー：#EA6969（初配信より）,🥗
早乙女ベリー,#DF6D7C,223,109,124,サブカラー：#BE9BCD（初配信より）,🍰🧁
雲母たまこ,#FFD264,255,210,100,サブカラー：#E9674D（初配信より）,🐣📛
酒寄颯馬,#BA6EA5,186,110,165,サブカラー：#E4DDD2（初配信より）,🍇
渚トラウト,#77B6C2,119,182,194,サブカラー：#FAA370（ポストより）,🐟🍴
一橋綾人,#9FCEC9,159,206,201,サブカラー：#EFEFEF（雑談配信より）,📚🗣
五木左京,#F3A4A9,243,164,169,サブカラー：#A7A5AD（雑談配信より）,💼📊
十河ののは,#7DC7B0,125,199,176,サブカラー：#E1CC57（初配信より）,♫🐌
夜牛詩乃,#BD81D4,189,129,212,サブカラー：#F0BBC6（初配信より）,♫💮
蝸堂みかる,#FFE673,255,230,115,サブカラー：#9ADBEB（初配信より）,♫🦎
猫屋敷美紅,#FF8C73,255,140,115,サブカラー：#9992E8（ポストより）,♫💐
皇れお,#EEB1CC,238,177,204,サブカラー：#9BF4E8（初配信より）,👑🌸
篠宮ゆの,#AAD9F4,170,217,244,サブカラー：#F8F482（マシュマロ開封配信より）,💍📘
城瀬いすみ,#E5E2F6,229,226,246,サブカラー：#F7CFEA（初配信より）,🏰🍬
花籠つばさ,#818FBF,129,143,191,サブカラー：#A3DADE（初配信より）,🧢🪽
白砂あやね,#54A2E5,84,162,229,サブカラー：#A2E4C7（初配信より）,🏖️🫶
水面まどか,#FF8184,255,129,132,サブカラー：#FEBF96（初配信より）,🪟🫶
男虎,#442657,68,38,87,,👊🐯
九里詠太,#CC8F7A,204,143,122,サブカラー：#72A7D1（初配信より）,🧰✂️
小々波いるか,#4270B2,66,112,178,サブカラー：#8EBAE8（初配信より、訂正ポスト）,🫧🐬
千凛あゆむ,#543298,84,50,152,サブカラー：#C16EC8（初配信より）,💜🗯️
塚原大地,#4A4A5C,74,74,92,サブカラー：#A44545（初配信より）,🗡🐼
御子神琴音,#D0669A,208,102,154,,🥢
Rei7,#4BB3CE,75,179,206,サブカラー：#5B6681（初配信より）,🦈✦
レヨン,#558E8D,85,142,141,,🎮️🥇
ぷりん・らら・もーど,#FFCEF1,255,206,241,サブカラー：#A0DBFF（自己紹介配信より）,🍮💌
ぽめろ・ぱんち,#FFEEA0,255,238,160,,🌠👊
神永タイガ,#E4D571,228,213,113,サブカラー：#7EBAB8（初配信より）,🐅🎻
山田龍一郎,#82ACC8,130,172,200,サブカラー：#B5B6B6（初配信より）,⛰️🎹
